variant,precision,compile_mode,batch_size,throughput_mean,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,peak_memory_mb,equiv_ok,gpu_name,gpu_mem_gb,pytorch_version,timestamp
reference,fp32,none,512,78.96,6484.376,6488.524,6496.627,6497.975,17708.1,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:04:25
reference,fp16,none,512,352.83,1451.143,1452.145,1454.908,1455.008,8885.0,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:05:31
reference,amp,none,512,309.99,1651.665,1650.302,1658.467,1659.324,10037.6,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:06:41
fast,fp32,none,512,78.24,6544.241,6541.930,6553.257,6554.584,17674.2,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:09:32
fast,fp16,none,512,356.76,1435.137,1435.126,1438.701,1440.336,8851.5,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:10:38
fast,amp,none,512,326.46,1568.353,1568.221,1573.200,1575.593,10610.0,False,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:11:48
fast_compile_def,fp32,default,512,83.74,6114.487,6107.037,6135.377,6137.205,9218.5,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:14:53
fast_compile_def,fp16,default,512,369.11,1387.138,1386.409,1392.299,1392.369,4623.7,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:16:01
fast_compile_def,amp,default,512,362.42,1412.713,1412.038,1417.923,1418.570,5599.4,False,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:17:28
fast_compile_reduce,fp32,reduce-overhead,512,83.67,6119.617,6121.633,6138.788,6140.192,753.2,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:20:18
fast_compile_reduce,fp16,reduce-overhead,512,366.33,1397.661,1397.243,1403.668,1404.389,387.2,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:21:27
fast_compile_reduce,amp,reduce-overhead,512,361.53,1416.184,1415.429,1421.469,1426.266,753.2,False,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:22:47
fast_cuda_graph,fp32,cuda-graph,512,78.30,6539.030,6542.266,6543.643,6543.846,793.1,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:25:59
fast_cuda_graph,fp16,cuda-graph,512,356.61,1435.751,1435.375,1439.436,1439.798,444.5,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:27:11
fast_cuda_graph,amp,cuda-graph,512,78.24,6544.090,6544.175,6547.710,6547.913,831.4,False,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:30:25
fast_cuda_graph_compile,fp32,cuda-graph+compile,512,83.75,6113.530,6103.791,6139.729,6142.446,850.5,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:33:41
fast_cuda_graph_compile,fp16,cuda-graph+compile,512,367.23,1394.212,1390.333,1404.706,1458.544,501.9,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:34:58
fast_cuda_graph_compile,amp,cuda-graph+compile,512,83.75,6113.094,6109.814,6136.397,6138.037,888.8,False,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:38:13
reference_patched,fp32,none,512,78.91,6488.564,6488.023,6506.292,6509.121,16499.3,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:44:41
reference_patched,fp16,none,512,353.67,1447.663,1448.060,1450.128,1451.559,8280.2,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:45:47
reference_patched_compile_def,fp32,default+fullgraph,512,84.79,6038.583,6038.466,6043.438,6043.538,11667.1,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:49:15
reference_patched_compile_def,fp16,default+fullgraph,512,366.20,1398.131,1397.974,1403.276,1404.229,5863.9,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:51:02
reference_patched_compile_reduce,fp32,reduce-overhead+fullgraph,512,84.62,6050.235,6049.432,6061.683,6062.373,787.3,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:53:56
reference_patched_compile_reduce,fp16,reduce-overhead+fullgraph,512,365.57,1400.561,1400.137,1407.052,1407.225,419.9,True,Tesla V100-SXM2-32GB,34.1,2.10.0+cu128,2026-05-12T20:55:19
