experiment,gpu_id,source_file,model,batch_size,batch_mb,input_channels,input_size,num_workers,prefetch_factor,pin_memory,warmup_steps,iterations,compute_mean_ms,compute_p50_ms,compute_p95_ms,compute_img_s,fetch_only_mean_ms,fetch_only_p50_ms,fetch_only_p95_ms,fetch_only_img_s,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_img_s,e2e_fetch_mean_ms,e2e_gpu_mean_ms,overhead_vs_compute_ms,slowdown_vs_compute,fetch_only_pct_of_compute,gpu_name,pytorch_version,cuda_version,timestamp
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,1,0.602112,3,224,8,2,True,10,50,2.0101849804632366,2.0069249949301593,2.0314434499596246,497.4666559142011,1.044550740334671,1.1645400081761181,2.484311244916171,957.3493765172221,3.032577400445007,3.0835135039524175,3.421074851212324,329.7525068455822,0.1789911210653372,2.8524697601096705,1.0223924199817702,1.5086061382003586,51.96291637269918,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:11
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,2,1.204224,3,224,8,2,True,10,50,1.9261323992395774,1.9208630110369995,1.9566067014238795,1038.3502197406497,1.3090414018370211,1.4027860015630722,1.791236553981434,1527.835557525785,3.3258163786376826,3.212194496882148,5.494023296341764,601.3561099904252,0.19682278099935502,3.127703300851863,1.3996839793981053,1.7266810837877449,67.96217136235396,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:12
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,4,2.408448,3,224,8,2,True,10,50,1.9930899402243085,1.9973309972556308,2.0231867019901983,2006.9340170117098,2.546182358637452,1.7869394941953942,7.2418593001202645,1570.9793866219914,3.790241681272164,3.4127669932786375,6.336198200006037,1055.3416737946463,0.19919269805541262,3.5897722403751686,1.7971517410478555,1.9016912407101902,127.75049972661529,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:13
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,8,4.816896,3,224,8,2,True,10,50,3.0351929806056432,3.028740997251589,3.0562939471565187,2635.7467387143465,2.8390291196410544,2.4937790003605187,14.583130043320073,2817.8647216593045,3.902056941005867,3.7698759988415986,4.247615551867057,2050.20073283138,0.2702969007077627,3.6302301203249954,0.8668639604002237,1.2856042320667365,93.53702179011214,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:15
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,16,9.633792,3,224,8,2,True,10,50,4.600907379644923,4.600369495165069,4.6170102985342965,3477.5748955056793,3.962047279346734,4.19609849632252,9.653268347028641,4038.316272348495,6.6280012400238775,5.660795504809357,6.817091853008604,2414.00075536835,1.0409497999353334,5.585301820829045,2.0270938603789546,1.4405856699804716,86.11447595914235,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:17
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,32,19.267584,3,224,8,2,True,10,50,8.313116261269897,8.243877506174613,8.329975492961237,3849.338682905866,7.7467850188259035,7.876584997575264,15.487609257252188,4130.745841305132,11.32319369877223,10.053286998299882,24.41017135279253,2826.057811187117,1.377014579193201,9.944744502136018,3.010077437502332,1.3620877349599965,93.18749762850686,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:19
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,64,38.535168,3,224,8,2,True,10,50,15.579109139798675,15.553924000414554,15.656156551995082,4108.065450065077,16.092264261387754,16.782839498773683,34.72586479911115,3977.066182884124,18.972626839531586,18.96927349298494,19.117956102854805,3373.280913671314,0.2490502395085059,18.722377780941315,3.393517699732911,1.217824887757142,103.29386691488132,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:23
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,128,77.070336,3,224,8,2,True,10,50,29.63284605939407,29.609491510200314,29.734669298341032,4319.5310954420465,27.343612040567677,28.289934001804795,57.946319906477584,4681.166475376258,45.53747837868286,36.755627996171825,91.45634560118197,2810.8714965631416,7.983532299986108,37.55221365892794,15.904632319288794,1.5367230770682851,92.27467380541847,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:31
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,256,154.140672,3,224,8,2,True,10,50,64.02994124044199,64.02571500075283,64.13134839822305,3998.1295475296756,54.94991893909173,54.8265640027239,192.82046454900396,4658.787582266658,95.01813980110455,77.9355930062593,190.73943674375184,2694.222393070087,15.890189699130131,79.12587451835861,30.988198560662568,1.4839641886332091,85.8190994315403,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:17:47
batch_size_sweep_gpu1_1_to_512,1,dataloader_ipc_sweep_gpu1_full.csv,resnet18,512,308.281344,3,224,8,2,True,10,50,110.36293221957749,110.32019650156144,110.8716070499213,4639.238825055206,122.30309439793928,0.17364699306199327,899.233959801495,4186.320898260337,137.9983989999164,137.4321039984352,138.06713345038588,3710.1879710960284,0.4987176810391247,137.49666954012355,27.635466780338902,1.2504053328825617,110.81899686627183,Tesla V100-SXM2-32GB,2.10.0+cu128,12.8,2026-04-29 05:18:14
