model_name,display_name,model_family,model_type,task,precision,compiled,compile_mode,gpu_name,gpu_mem_gb,batch_size,throughput_mean,pixels_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,params_M,macs_G,peak_memory_mb,tf32_enabled,input_channels,input_size,pytorch_version,cuda_version,timestamp
resnet18,ResNet-18,ResNet,cnn,classification,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,4096,7148.13,358664534.0,573.017,,,,11.18,3.63,28827.4,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:41:02
resnet18,ResNet-18,ResNet,cnn,classification,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,4096,10215.95,512595376.0,400.942,,,,11.18,3.63,16064.3,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:41:44
resnet18,ResNet-18,ResNet,cnn,classification,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,4096,10449.78,524328014.0,391.97,,,,11.18,3.63,17318.2,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:42:26
resnet18,ResNet-18,ResNet,cnn,segmentation,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,2234.43,112114710.0,458.283,,,,14.33,3.63,22366.0,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:43:21
resnet18,ResNet-18,ResNet,cnn,segmentation,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,3926.09,196995298.0,260.82,,,,14.33,3.63,14477.1,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:43:59
resnet18,ResNet-18,ResNet,cnn,segmentation,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,3374.94,169340883.0,303.413,,,,14.33,3.63,21421.2,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:44:38
resnet50,ResNet-50,ResNet,cnn,classification,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,2102.85,105512665.0,973.916,,,,23.53,8.17,22712.8,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:45:47
resnet50,ResNet-50,ResNet,cnn,classification,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,3920.75,196727429.0,522.349,,,,23.53,8.17,11364.9,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:46:31
resnet50,ResNet-50,ResNet,cnn,classification,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,3846.18,192985745.0,532.477,,,,23.53,8.17,12026.1,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:47:15
resnet50,ResNet-50,ResNet,cnn,segmentation,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,1181.72,59293762.0,866.537,,,,32.52,8.17,27065.7,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:48:23
resnet50,ResNet-50,ResNet,cnn,segmentation,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,2221.07,111444548.0,461.038,,,,32.52,8.17,16829.7,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:49:05
resnet50,ResNet-50,ResNet,cnn,segmentation,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,1966.04,98647994.0,520.844,,,,32.52,8.17,23844.4,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:49:49
resnet101,ResNet-101,ResNet,cnn,classification,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,1365.33,68506710.0,1500.006,,,,42.52,15.6,22788.7,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:51:14
resnet101,ResNet-101,ResNet,cnn,classification,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,2558.64,128382470.0,800.424,,,,42.52,15.6,11401.1,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:52:03
resnet101,ResNet-101,ResNet,cnn,classification,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,2522.53,126570260.0,811.885,,,,42.52,15.6,12102.0,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:52:52
resnet101,ResNet-101,ResNet,cnn,segmentation,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,912.76,45798768.0,1121.869,,,,51.51,15.6,27141.6,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:54:10
resnet101,ResNet-101,ResNet,cnn,segmentation,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,1700.34,85316489.0,602.231,,,,51.51,15.6,16865.7,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:54:56
resnet101,ResNet-101,ResNet,cnn,segmentation,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,1551.97,77871609.0,659.807,,,,51.51,15.6,23959.1,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:55:43
resnet152,ResNet-152,ResNet,cnn,classification,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,962.88,48313498.0,2126.951,,,,58.16,23.02,22851.2,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:57:25
resnet152,ResNet-152,ResNet,cnn,classification,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,1814.86,91062450.0,1128.461,,,,58.16,23.02,11436.6,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:58:21
resnet152,ResNet-152,ResNet,cnn,classification,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,1796.05,90118669.0,1140.279,,,,58.16,23.02,12164.5,True,3,224,2.11.0+cu130,13.0,2026-04-17T13:59:17
resnet152,ResNet-152,ResNet,cnn,segmentation,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,712.69,35759791.0,1436.816,,,,67.16,23.02,27204.9,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:00:47
resnet152,ResNet-152,ResNet,cnn,segmentation,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,1342.76,67374237.0,762.609,,,,67.16,23.02,16899.8,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:01:36
resnet152,ResNet-152,ResNet,cnn,segmentation,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,1024,1249.12,62675715.0,819.779,,,,67.16,23.02,24055.2,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:02:26
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,classification,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,4150.87,208273987.0,493.391,,,,4.02,0.77,25921.6,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:03:19
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,classification,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,7219.08,362224386.0,283.693,,,,4.02,0.77,12965.6,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:03:59
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,classification,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,7254.98,364025994.0,282.289,,,,4.02,0.77,13590.3,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:04:37
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,segmentation,fp32,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,OOM,,,,,,,,,True,3,224,,,
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,segmentation,fp16,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,3370.18,169102278.0,607.682,,,,5.84,0.77,22056.0,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:05:58
efficientnet_b0,EfficientNet-B0,EfficientNet,cnn,segmentation,amp,False,none,NVIDIA RTX 6000 Ada Generation,50.9,2048,3035.38,152303471.0,674.709,,,,5.84,0.77,35849.0,True,3,224,2.11.0+cu130,13.0,2026-04-17T14:06:45
