model_name,display_name,model_family,model_type,task,precision,compiled,compile_mode,gpu_name,gpu_mem_gb,batch_size,throughput_mean,pixels_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,params_M,macs_G,peak_memory_mb,tf32_enabled,input_channels,input_size,pytorch_version,cuda_version,timestamp
beit_base_patch16_224,BEiT-B/16,BEiT,vit,classification,amp,False,none,Tesla V100-SXM2-32GB,34.1,2048,1299.89,65223249.0,1575.519,,,,85.77,35.13,10444.5,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:00:56
beit_base_patch16_224,BEiT-B/16,BEiT,vit,classification,fp16,False,none,Tesla V100-SXM2-32GB,34.1,2048,1436.29,72067213.0,1425.897,,,,85.77,35.13,7630.6,False,3,224,2.10.0+cu128,12.8,2026-04-18T02:59:47
beit_base_patch16_224,BEiT-B/16,BEiT,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,322.37,16175182.0,6352.97,,,,85.77,35.13,15223.9,False,3,224,2.10.0+cu128,12.8,2026-04-18T02:58:37
beit_large_patch16_224,BEiT-L/16,BEiT,vit,classification,amp,False,none,Tesla V100-SXM2-32GB,34.1,2048,429.88,21569557.0,4764.143,,,,303.42,123.11,14639.7,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:17:27
beit_large_patch16_224,BEiT-L/16,BEiT,vit,classification,fp16,False,none,Tesla V100-SXM2-32GB,34.1,2048,475.48,23857472.0,4307.265,,,,303.42,123.11,10332.1,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:15:06
beit_large_patch16_224,BEiT-L/16,BEiT,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,99.61,4997971.0,20560.434,,,,303.42,123.11,20642.1,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:12:50
coatnet_0_224,CoAtNet-0,CoAtNet,hybrid,classification,amp,False,none,Tesla V100-SXM2-32GB,34.1,512,1620.59,81314535.0,315.935,,,,24.28,9.09,16346.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:19:54
coatnet_0_224,CoAtNet-0,CoAtNet,hybrid,classification,fp16,False,none,Tesla V100-SXM2-32GB,34.1,512,1546.69,77606927.0,331.029,,,,24.28,9.09,16147.4,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:19:15
coatnet_0_224,CoAtNet-0,CoAtNet,hybrid,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,725.98,36426801.0,705.253,,,,24.28,9.09,32273.9,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:18:33
coatnet_0_224,CoAtNet-0,CoAtNet,hybrid,segmentation,amp,False,none,Tesla V100-SXM2-32GB,34.1,256,1085.78,54479939.0,235.776,,,,27.81,9.09,8500.2,False,3,224,2.10.0+cu128,12.8,2026-04-18T03:22:04
